link,title,pubDate,description,thumbnail
https://www.cnnindonesia.com/ekonomi/20230919175908-92-1001079/puluhan-pedagang-pasar-tanah-abang-tunggak-sewa-kios-hingga-rp43-juta,Puluhan Pedagang Pasar Tanah Abang Tunggak Sewa Kios Hingga Rp43 Juta,2023-09-19T11:37:17.000Z,Sejumlah pedagang di Pasar Tanah Abang Blok B menunggak pembayaran kios hingga puluhan juta rupiah. Mereka sudah diberikan peringatan pengelola pasar.,https://akcdn.detik.net.id/visual/2023/09/19/puluhan-pedagang-pasar-tanah-abang-nunggak-sewa-kios-hingga-rp43-juta_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919182230-12-1001083/kasus-makan-babi-baca-bismillah-lina-mukherjee-divonis-2-tahun-bui,"Kasus Makan Babi Baca Bismillah, Lina Mukherjee Divonis 2 Tahun Bui",2023-09-19T11:35:47.000Z,"Vonis dua tahun bui terhadap terdakwa kasus makan babi sambil baca bismillah, Lina Mukherjee, sama dengan tuntutan jaksa penuntut umum.",https://akcdn.detik.net.id/visual/2023/07/25/sidang-kasus-penistaan-agama-lina-mukherjee-2_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919154143-12-1001007/tenaga-ahli-kominfo-ditangkap-usai-bersaksi-di-sidang-johnny-plate,Tenaga Ahli Kominfo Ditangkap Usai Bersaksi di Sidang Johnny Plate,2023-09-19T11:32:29.000Z,Kejagung langsung memeriksa Tenaga Ahli Kominfo Walbertus Natalius Wisang selaku tersangka korupsi pembangunan menara BTS 4G BAKTI Kominfo.,https://akcdn.detik.net.id/visual/2023/09/19/tenaga-ahli-kominfo-walbertus-natalius-wisang_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/olahraga/20230919181729-142-1001081/live-report-indonesia-vs-kirgistan-di-asian-games-2023,LIVE REPORT: Indonesia vs Kirgistan di Asian Games 2023,2023-09-19T11:21:59.000Z,Timnas Indonesia U-24 berhasil menaklukkan Kirgistan 2-0 pada laga perdana Grup F Kualifikasi Asian Games 2023. Sampai jumpa di live report berikutnya.,https://akcdn.detik.net.id/visual/2023/09/14/cover-live-report-asian-games-2023-indonesia-vs-kirgistan_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/ekonomi/20230919114151-97-1000828/transmart-tebar-diskon-mendadak-belanja-dulu-aja-pakai-allo-paylater,Transmart Tebar Diskon Mendadak? Belanja Dulu Aja Pakai Allo Paylater,2023-09-19T11:20:20.000Z,"Pesta diskon Transmart bertajuk Full Day Sale: September Ceria balik lagi hari ini, Selasa (19/9). Bisa belanja sekarang bayarnya nanti!",https://akcdn.detik.net.id/visual/2023/07/22/transmart-full-day-sale-kota-kasablanka-8_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919164612-32-1001045/pdip-gelar-rakernas-akhir-september-jokowi-megawati-beri-pidato,"PDIP Gelar Rakernas Akhir September, Jokowi-Megawati Beri Pidato",2023-09-19T11:14:44.000Z,"PDIP dijadwalkan bakal menggelar Rapat Kerja Nasional (Rakernas) IV pada 28, 29 September, dan 1 Oktober mendatang di JI-Expo Kemayoran.",https://akcdn.detik.net.id/visual/2023/09/13/sekretaris-jenderal-pdip-hasto-kristiyanto_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/olahraga/20230919180408-156-1001073/marquez-kena-masalah-visa-motogp-india-tertahan-di-spanyol,"Marquez Kena Masalah Visa MotoGP India, Tertahan di Spanyol",2023-09-19T11:08:24.000Z,Marc Marquez menjadi salah satu korban masalah visa jelang MotoGP India 2023. Marquez belum juga terbang ke India hingga Selasa (19/9).,https://akcdn.detik.net.id/visual/2022/09/16/thumbnail-video-5_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/internasional/20230919174911-106-1001069/ri-gelar-latihan-militer-bersama-asean-di-natuna-myanmar-nimbrung,"RI Gelar Latihan Militer Bersama ASEAN di Natuna, Myanmar 'Nimbrung'",2023-09-19T11:07:51.000Z,"RI menjadi tuan rumah latihan militer bersama negara ASEAN di Natuna pada Selasa (19/9). Myanmar ikut partisipasi meski tengah ""diasingkan"" blok gegara kudeta.",https://akcdn.detik.net.id/visual/2023/09/19/latihan-militer-asean-di-natuna_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/nasional/20230919174326-12-1001067/polda-jatim-terjun-dalami-kasus-siswi-sd-gresik-buta-dicolok-tusukan,Polda Jatim Terjun Dalami Kasus Siswi SD Gresik Buta Dicolok Tusukan,2023-09-19T11:07:01.000Z,Polda Jatim melakukan asistensi untuk Polres Gresik penanganan kasus siswi SD yang buta diduga akibat dicolok tusuk bakso oleh kakak kelas di sekolah.,https://akcdn.detik.net.id/visual/2022/10/18/kabid-humas-polda-jatim-kombes-pol-dirmanto_169.jpeg?w=360&q=90
https://www.cnnindonesia.com/teknologi/20230919133946-199-1000897/pesawat-nasa-jadi-yang-pertama-selamat-menembus-badai-matahari,Pesawat NASA Jadi yang Pertama Selamat Menembus Badai Matahari,2023-09-19T11:05:01.000Z,Wahana antariksa milik NASA sukses membuat rekor dengan menembus badai Matahari dan meneliti lontaran massa koronal (CME).,https://akcdn.detik.net.id/visual/2022/09/07/parker-solar-probe_169.png?w=360&q=90
